host_response_rate,host_identity_verified,host_total_listings_count,is_location_exact,property_type,accommodates,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,reviews_per_month,fraud
95,1,3,1,8,2,6500,2,8,93.0,0,1,0.63,1
100,1,1,1,0,8,50000,1,88,98.0,0,1,4.2,1
100,1,1,1,8,2,9000,1,192,95.0,0,1,5.58,1
90,1,1,1,0,2,11500,1,54,88.0,1,2,3.58,1
92,0,8,1,2,6,27500,2,29,91.0,1,2,0.72,1
100,1,1,0,8,8,15000,3,21,88.0,0,0,1.58,1
100,0,1,1,8,2,7500,2,37,91.0,0,1,0.61,1
70,1,1,1,0,2,10000,1,29,97.0,0,1,1.6,1
100,1,1,0,0,2,9400,2,8,70.0,0,2,4.0,1
100,1,1,1,9,4,17500,2,312,92.0,1,2,5.85,1
100,1,1,1,0,2,15000,1,31,85.0,0,1,1.97,1
100,1,1,0,0,2,25000,1,21,77.0,0,2,1.44,1
100,1,20,1,4,4,9900,1,92,85.0,1,2,2.87,1
100,1,20,1,4,4,9900,2,30,87.0,1,2,2.72,1
100,0,2,0,8,3,7500,3,6,68.0,0,0,0.6,1
100,1,1,1,0,3,12300,1,34,87.0,0,1,5.15,1
100,1,13,1,0,2,12500,1,244,88.0,1,2,6.13,1
100,1,7,1,0,2,9900,1,174,75.0,1,0,7.7,1
100,1,20,1,8,3,6800,1,49,84.0,0,2,1.99,1
100,1,6,1,10,1,50000,1,26,94.0,0,2,0.65,1
89,1,558,1,0,3,24900,3,2,78.0,0,3,0.04,1
100,1,4,1,0,4,26500,1,101,93.0,0,1,7.05,1
100,1,9,1,0,7,19900,1,24,88.0,0,2,1.83,1
71,1,363,1,4,4,22900,3,17,91.0,1,2,1.4,1
100,1,13,1,8,2,6800,1,109,91.0,0,2,3.09,1
100,1,1,1,0,2,23800,2,66,96.0,0,2,2.57,1
100,1,1,1,0,2,20000,3,28,93.0,1,1,1.96,1
100,1,2,1,0,2,8500,1,62,97.0,0,1,1.46,1
100,1,18,1,8,2,9900,1,80,88.0,1,2,6.7,1
100,1,1,1,8,2,20000,1,8,95.0,0,0,0.57,1
100,1,6,1,0,4,30600,1,192,97.0,0,2,4.72,1
100,1,6,0,0,8,17900,1,34,83.0,1,1,2.33,1
100,1,1,1,0,6,20000,1,132,96.0,1,2,2.62,1
100,0,1,1,0,2,20000,1,55,97.0,1,0,11.3,1
96,1,2,1,0,3,11500,2,43,85.0,0,2,1.45,1
98,1,24,1,0,4,16700,2,27,85.0,0,2,1.7,1
100,1,4,1,0,5,15000,1,59,84.0,1,1,5.28,1
